tweet_id,text,immigration_human,climate change_human,renewable energy_human,traditional energy_human,inequality_human,social policy_human,taxation_human,labour market_human,international trade_human,economics_human,european union_human,public health_human,gender rights_human,civil rights_human,political rights_human,connecting_human,elections/voting_human,self-promotion_human,anti-establishment_human,immigration_bert,climate change_bert,renewable energy_bert,traditional energy_bert,inequality_bert,social policy_bert,taxation_bert,labour market_bert,international trade_bert,economics_bert,european union_bert,public health_bert,gender rights_bert,civil rights_bert,political rights_bert,connecting_bert,elections/voting_bert,self-promotion_bert,anti-establishment_bert
1700599,RT @miro5ek: This is an unprecedented scandal: migrants can infect animals. What about us? Aha. Another department takes care of that. The department you manage...,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3274986,"What is the meaning of how the rest of the opposition will vote, if the Left supported the PiS into the dark?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1879679,"EC has confirmed compliance with the principles of public aid in the EU, Czech partial plans to compensate for energy-intensive companies of higher electricity prices resulting from emission costs under the EU emission allowance trading system (EU ETS).",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1409991,The Court of Strasbourg asks for Italy to review rules on life -stressing life imprisonment.@Fratelliditaiia says no discounts of punishment for those who commit crimes punishable with#life imprisonment.In Italy of inhuman there is only the condition in which the relatives of the victims live awaiting justice.https://t.co/wvcd2eieef,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
688663,RT @ellensandell: For >1yr Greens&community have asked that EWtollroad houses be used for social housing. Finally maybe some action? https:…,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
382556,"Rt @alex_bensaid: 📻 #narretepasleco is now @Franceinter

On the menu: catching up the best books and 2020 movies for understanding ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2762985,"Less 20!Are you organizing yourself too?It will be a historic day, friends.
🇮🇹 Info: https://t.co/pmnw4oladp https://t.co/egswqotjeh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2649135,RT @jenbechwati: 111 cases in Sydney tomorrow. According to the TikTok guy who’s been getting leaks from NSW health for 3 days now. 👇🏻 http…,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
529107,I'll tell you that I tried 5 years ago.I went to California and introduced a plan to welcome them in the Emilian Valley Motor.At the time they told us that they had already chosen the Netherlands for the electricity legislation.It will seem strange but the Tesla factory in California was really primordial https://t.co/sakjnrllhr,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2250157,"RT @iurkullu: 🔴 Today is a day of memory, thank you and awareness.I remember all the people who have died in these ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
